0.45389193296432495,Tom's reluctance with Virtual Tech Solutions going into a b2b direction
0.44927889108657837,Clark's past relationship with Tom
0.44233134388923645,Clark's current relationship with Tom
0.408579558134079,Bill is resentful of Tom's focus
0.37852874398231506,Tom's depression and poor relationships
0.37706229090690613,Bill is jealous of Tom's technical genius
0.356636106967926,Tom is the genius technical cofounder of Virtual Tech Solutions
0.3436937928199768,Karen's early relationship with Tom
0.3226088583469391,Bill's secret plan to trap Tom in the VR world
0.3127060830593109,Baxter's relationship with Tom
