0.41780126094818115,Baxter's relationship with Tom
0.40880414843559265,Wendy's relationship with Tom'
0.3928787112236023,Clark's past relationship with Tom
0.3814072012901306,Karen's early relationship with Tom
0.37535765767097473,Bill is jealous of Tom's technical genius
0.36429229378700256,Beau's relationship with Tom
0.35804322361946106,Bill is resentful of Tom's focus
0.3511824309825897,Tom's depression and poor relationships
0.34763574600219727,Clark's current relationship with Tom
0.3356180489063263,Tom's reluctance with Virtual Tech Solutions going into a b2b direction
